opco_code,opco_name,product_line,product_division,product_group,product_category
NORTHCO,NorthCo,SOFT,KIDS,BABIES,STROLLERS
NORTHCO,NorthCo,SOFT,KIDS,BABIES,OTHERS
NORTHCO,NorthCo,SOFT,KIDS,BABIES,PILLOW/ BOLSTER
NORTHCO,NorthCo,SOFT,KIDS,BABIES,BLANKET
NORTHCO,NorthCo,SOFT,KIDS,BABIES,BOTTLE WASH
NORTHCO,NorthCo,SOFT,KIDS,BABIES,HAMPERS/GIFT SET
NORTHCO,NorthCo,SOFT,KIDS,BABIES,INFANT BOYS BOTTOM
NORTHCO,NorthCo,SOFT,KIDS,BABIES,ORAL CARES
NORTHCO,NorthCo,SOFT,KIDS,BABIES,LOTION
NORTHCO,NorthCo,SOFT,KIDS,BABIES,NEW BORN BOTTOM
NORTHCO,NorthCo,SOFT,KIDS,BABIES,SANITARY CARE
NORTHCO,NorthCo,FOOD,GROCERY,SEASONING &  MATERIAL & IMPORTED FOOD,ORGANIC CONFECTIONERY
NORTHCO,NorthCo,FOOD,NONFOODS & HBC,HEALTH CARE,NOURISH & TONIC
NORTHCO,NorthCo,WELL,BEAUTY CARE,BEAUTY CARE,EDT & MIST
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,BEAUTY CARE,FACIAL CLEANSER
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,BEAUTY CARE,FACE MASK
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,BEAUTY CARE,BODY MOISTURIZER
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,PERSONAL CARE,HAIR SHAMPOO
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,PERSONAL CARE,REGULAR BODY WASH
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,PERSONAL CARE,HAND SANITIZER
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,PERSONAL CARE,LADIES ROLL ON
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,PERSONAL CARE,LADIES SPRAY
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,PERSONAL CARE,MEN`S STICK
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,PERSONAL CARE,FEMININE HYGIENE
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,HEALTH CARE,SENIOR CARE
NORTHCO,NorthCo,H&BC,NON FOOD & HBC,HEALTH CARE,MEDICAL DEVICES
NORTHCO,NorthCo,SOFT,SBA,BAG,GIO FIORE
NORTHCO,NorthCo,SOFT,SBA,SHOES,CASUAL SANDAL
NORTHCO,NorthCo,SOFT,SBA,SHOES,CASUAL SNEAKERS
NORTHCO,NorthCo,SOFT,SBA,SHOES,COMFORT WEDGES
NORTHCO,NorthCo,SOFT,SBA,SHOES,ZANG TOI
NORTHCO,NorthCo,SOFT,SBA,SHOES,CAMEL ACTIVE
NORTHCO,NorthCo,HARD,HOUSEHOLD,DINING & KITCHEN,PARTY GOODS
NORTHCO,NorthCo,HARD,HOUSEHOLD,DINING & KITCHEN,STEAMER / PRESSURE COOKER / THERMAL
NORTHCO,NorthCo,HARD,HOUSEHOLD,DINING & KITCHEN,BAKEWARE
NORTHCO,NorthCo,HARD,HOUSEHOLD,DINING & KITCHEN,FOOD STORAGE
NORTHCO,NorthCo,SOFT,KIDS,BABIES,INFANT GIRLS SUIT
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,OTHERS
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN INNERWEAR,BOYS KNIT PYJAMAS
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN SHOP,WOVEN KNEE LENGTH
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,KNIT TOP
NORTHCO,NorthCo,SOFT,SPORTSWEAR,SPORT APPARELS,DIADORA APP (C)
NORTHCO,NorthCo,HARD,SPORTS,SPORTS,SPORTS APPAREL CONCESS
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,SCHOOL ACCESSORIES
NORTHCO,NorthCo,SOFT,MEN,MEN SHOP,OTHERS
NORTHCO,NorthCo,SOFT,SBA,ACCESSORIES,BEE SAME
NORTHCO,NorthCo,SOFT,INNERWEAR,LADIES INNERWEAR,AIMER
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN INNERWEAR,GIRLS SOCKS
NORTHCO,NorthCo,HARD,HOME FASHION,BEDDING,BOLSTER
NORTHCO,NorthCo,HARD,HOME FASHION,ZAKKA HOME,TEXTILES
NORTHCO,NorthCo,HARD,HOME FASHION,BEDDING,MADISON & CO
NORTHCO,NorthCo,HARD,HOME FASHION,BEDDING,AT&IN
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,GIRLS SHIRT/BLOUSE
NORTHCO,NorthCo,HARD,HOME FASHION,INTERIOR & LIVING,SOFT FURNISHING
NORTHCO,NorthCo,SOFT,SBA,SHOES,CROOPPER
NORTHCO,NorthCo,SOFT,SBA,ACCESSORIES,GOLDLION
NORTHCO,NorthCo,HARD,DIY,GARDENING,LIVE PLANTS & SEEDS
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN INNERWEAR,GIRLS CAMISOLE
NORTHCO,NorthCo,HARD,HOME FASHION,INTERIOR & LIVING,INTERIOR DINING
NORTHCO,NorthCo,HARD,HOME FASHION,FURNITURE,OTHERS
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,LADIES CASUAL OTHER
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,LADIES MISSY SKIRT & JEANS
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,LADIES CAREER CUT & SEW
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,LADIES CAREER SUIT & JACKET
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,PLUS CASUAL SKIRT & JEANS
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,PLUS  CAREER BLOUSE / SHIRT
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,MATERNITY CASUAL CUT & SEW
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,MATERNITY CASUAL SKIRT & JEANS
NORTHCO,NorthCo,SOFT,INNERWEAR,LADIES INNERWEAR,NIGHTIES
NORTHCO,NorthCo,SOFT,MEN,MEN APPAREL,DENIM JACKET
NORTHCO,NorthCo,SOFT,KIDS,BABIES,INFANT GIRLS TOP
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,SPORT WEAR
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,GIRLS 1 PIECE/DRESS
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,GIRLS WOVEN 1 PIECE/DRESS
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,GIRLS CUT & SEW
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN APPAREL,GIRLS SUIT
NORTHCO,NorthCo,SOFT,KIDS,CHILDREN INNERWEAR,BOYS WOVEN PYJAMAS
NORTHCO,NorthCo,SOFT,MEN,MEN APPAREL,SINGLET
NORTHCO,NorthCo,SOFT,MEN,MEN APPAREL,POLO SHIRT
NORTHCO,NorthCo,SOFT,MEN,MEN APPAREL,LONG CASUAL PANTS
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,LADIES CASUAL BLOUSE / SHIRT
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,LADIES CASUAL DRESS
NORTHCO,NorthCo,SOFT,SPORTSWEAR,SPORT APPARELS,SPORT BOTTOMS
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,DOLLY
NORTHCO,NorthCo,FOOD,PERISHABLE,PRODUCE,OTHERS (P.A)
NORTHCO,NorthCo,FOOD,DELICA,FOOD COURT,HOT
NORTHCO,NorthCo,OTHERS,P.C CENTER,P.C CENTER,MOCHI
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,LADIES MISSY BLOUSE / SHIRT
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,LADIES MISSY DRESS
NORTHCO,NorthCo,SOFT,LADIES,LADIES APPAREL,LADIES CAREER OTHER
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,LADIES CASUAL CUT & SEW
NORTHCO,NorthCo,SOFT,INNERWEAR,MEN INNERWEAR,BIKINIS
NORTHCO,NorthCo,SOFT,INNERWEAR,MEN INNERWEAR,MASTER SOCKS ( C )
NORTHCO,NorthCo,SOFT,INNERWEAR,MEN INNERWEAR,DIESEL SOCKS ( C )
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,LADIES MISSY MACHINE KNIT
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,LADIES SMART CAREER  JACKET
NORTHCO,NorthCo,SOFT,MEN,MEN APPAREL,CHECKS LONG SLEEVE SHIRT
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,SHORT SLEEVE SHIRT
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,KNIT SHORT SLV TOP
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,KNIT LONG SLV TOP
NORTHCO,NorthCo,SOFT,LADIES,LADIES SHOP APPAREL,DENIM(BOTTOM)
NORTHCO,NorthCo,HARD,HOUSEHOLD,HOUSE KEEPING,OTHERS
NORTHCO,NorthCo,HARD,HOUSEHOLD,DINING & KITCHEN,KETTLE
NORTHCO,NorthCo,HARD,HOUSEHOLD,DINING & KITCHEN,KITCHEN UTENSIL
NORTHCO,NorthCo,HARD,DIY,HOME REPAIR & IMPROVEMENT,PAINTS & PAINTS ACCESSORIES
NORTHCO,NorthCo,SOFT,SBA,BAG,POUCH
NORTHCO,NorthCo,SOFT,SBA,TRAVEL & SPORTS,TRAVELITE
NORTHCO,NorthCo,SOFT,KIDS,BABIES,ACCESSORIES
NORTHCO,NorthCo,SOFT,KIDS,BABIES,CRADLE & BOUNCER/BOUNCINETTE
NORTHCO,NorthCo,SOFT,KIDS,BABIES,POTTIES
NORTHCO,NorthCo,SOFT,KIDS,HOBBY,EDUCATIONAL FLAT PRICE
NORTHCO,NorthCo,SOFT,KIDS,BABIES,SWEET BERRY
NORTHCO,NorthCo,SOFT,INNERWEAR,MEN INNERWEAR,OTHERS
NORTHCO,NorthCo,SOFT,SBA,SHOES,CROCODILE
NORTHCO,NorthCo,SOFT,MEN,MEN APPAREL,WOVEN LS TOP
NORTHCO,NorthCo,SOFT,SBA,TRAVEL & SPORTS,BRIGHT ALLIANCE
NORTHCO,NorthCo,SOFT,SBA,TRAVEL & SPORTS,LOJEL
